"","paper_id","citation","year","first_author","data_origin","journal","bias","code_classification","distributed_network","reporting","linkage","confounding","pre_processing","generalisability","drug_exposures","social_determinants","others","causal_inference","stats_model","data_quality","harmonise_pts_data"
"1","545031","Olarte Parra, Camila, Waernbaum, Ingeborg, Schon, Staffan, Goetghebeur, Els; Trial emulation and survival analysis for disease incidence registers: A case study on the causal effect of pre-emptive kidney transplantation;  2022; Vol 41(21): 4176-4199","2022","Olarte Parra","Sweden","Statistics in Medicine",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"2","545267","Meid, A. D., Ruff, C., Wirbka, L., Stoll, F., Seidling, H. M., Groll, A., Haefeli, W. E.; Using the causal inference framework to support individualized drug treatment decisions based on observational healthcare data;  2020; Vol 12 1223-1234","2020","Meid","Not Mentioned","Clinical Epidemiology",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"3","544890","Buchanan, Ashley, Sun, Tianyu, Wu, Jing, Aroke, Hilary, Bratberg, Jeffrey, Rich, Josiah, Kogut, Stephen, Hogan, Joseph; Toward evaluation of disseminated effects of medications for opioid use disorder within provider-based clusters using routinely-collected health data;  2022; Vol 41(18): 3449-3465","2022","Buchanan","the US","Statistics in Medicine",1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"4","548783","Prosperi, Mattia, Min, Jae S., Bian, Jiang, Modave, Francois; Big data hurdles in precision medicine and precision public health; BMC medical informatics and decision making 2018; Vol 18(1): 139","2018","Prosperi","a review","BMC Medical Informatics and Decision Making",1,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"5","545133","Van Woensel, William, Armstrong, Chad, Rajaratnam, Malavan, Gupta, Vaibhav, Raza Abidi, Syed Sibte; Using Knowledge Graphs to Plausibly Infer Missing Associations in EMR Data...Medical Informatics Europe, Public Health and Informatics Conference (Virtual), 29-31 May, 2021;  2021;(281): 417-421","2021","Van Woensel","Canada","Studies in Health Technology and Informatics",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"6","548792","Dambha-Miller, Hajira, Griffin, Simon J., Young, Duncan, Watkinson, Peter, Tan, Pui San, Clift, Ashley K., Payne, Rupert A., Coupland, Carol, Hopewell, Jemma C., Mant, Jonathan, Martin, Richard M., Hippisley-Cox, Julia; The Use of Primary Care Big Data in Understanding the Pharmacoepidemiology of COVID-19: A Consensus Statement From the COVID-19 Primary Care Database Consortium; Annals of family medicine 2021; Vol 19(2): 135-140","2021","Dambha-Miller","UK","Annals of Family Medicine",0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
"7","545450","Zeng, J., Gensheimer, M. F., Rubin, D. L., Athey, S., Shachter, R. D.; Uncovering interpretable potential confounders in electronic medical records;  2021;","2021","Zeng","the US","Nature Communications",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"8","548865","Bykov, Katsiaryna, Patorno, Elisabetta, D'Andrea, Elvira, He, Mengdong, Lee, Hemin, Graff, Jennifer S., Franklin, Jessica M.; Prevalence of Avoidable and Bias-Inflicting Methodological Pitfalls in Real-World Studies of Medication Safety and Effectiveness; Clinical pharmacology and therapeutics 2022; Vol 111(1): 209-217","2022","Bykov","the US","Clinical Pharmacology & Therapeutics",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"9","545306","Lai, Edward Chia-Cheng, Pratt, Nicole, Hsieh, Cheng-Yang, Lin, Swu-Jane, Pottegard, Anton, Roughead, Elizabeth E., Kao Yang, Yea-Huei, Hallas, Jesper; Sequence symmetry analysis in pharmacovigilance and pharmacoepidemiologic studies;  2017; Vol 32(7): 567-582","2017","Lai","Multiple","European Journal of Epidemiology",1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"10","545372","Neugebauer, Romain, Schmittdiel, Julie A., van der Laan, Mark J.; A Case Study of the Impact of Data-Adaptive Versus Model-Based Estimation of the Propensity Scores on Causal Inferences from Three Inverse Probability Weighting Estimators;  2016; Vol 12(1): 131-55","2016","Neugebauer","the US","International Journal of Biostatistics",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
